CompanyName,Symbol,Price
20 MICRONS LTD,20MICRONS,₹277.25
21ST CENTURY MGMT SERVICE,21STCENMGM,₹98.68
360 ONE WAM LIMITED,360ONE,₹1007.60
3I INFOTECH LIMITED,3IINFOLTD,₹31.90
3M INDIA LIMITED,3MINDIA,₹34329.85
3P LAND HOLDINGS LIMITED,3PLAND,₹37.94
5PAISA CAPITAL LIMITED,5PAISA,₹534.85
63 MOONS TECHNOLOGIES LTD,63MOONS,₹390.00
A2Z INFRA ENGINEERING LTD,A2ZINFRA,₹16.95
AAA TECHNOLOGIES LIMITED,AAATECH,₹126.25
AADHAR HOUSING FINANCE L,AADHARHFC,₹444.40
AAKASH EXPLORATION SER L,AAKASH,₹11.55
AAREY DRUGS & PHARM LTD,AAREYDRUGS,₹67.56
AARON INDUSTRIES LIMITED,AARON,₹263.00
AARTECH SOLONICS LIMITED,AARTECH,₹67.80
AARTI DRUGS LTD.,AARTIDRUGS,₹517.00
AARTI INDUSTRIES LTD,AARTIIND,₹552.90
AARTI PHARMALABS LIMITED,AARTIPHARM,₹610.10
AARTI SURFACTANTS LIMITED,AARTISURF,₹810.00
AARVEE DEN. & EXP. LTD,AARVEEDEN,₹--
AARVI ENCON LIMITED,AARVI,₹136.06
AATMAJ HEALTHCARE LIMITED,AATMAJ,₹26.80
AAVAS FINANCIERS LIMITED,AAVAS,₹1745.00
ABAN OFFSHORE LTD.,ABAN,₹74.80
ABB INDIA LIMITED,ABB,₹7903.00
ABBOTT INDIA LIMITED,ABBOTINDIA,₹28260.00
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,₹234.24
A B COTSPIN INDIA LIMITED,ABCOTS,₹488.00
ALLIED BLEND N DISTILS L,ABDL,₹329.35
ADITYA BIRLA FASHION & RT,ABFRL,₹345.00
BIRLASLAMC - ABGSEC,,₹345.00
A B INFRABUILD LIMITED,ABINFRA,₹86.00
ABM INTERNATIONAL LTD,ABMINTLLTD,₹54.18
ADIT BIRL SUN LIF AMC LTD,ABSLAMC,₹723.85
BIRLASLAMC - ABSLBANETF,,₹723.85
BIRLASLAMC - ABSLLIQUID,,₹723.85
BIRLASLAMC - ABSLNN50ET,,₹723.85
BIRLASLAMC-ABSLPSE,,₹723.85
ABS MARINE SERVICES LTD,ABSMARINE,₹263.00
ACC LIMITED,ACC,₹2441.95
ACCELYA SOLN INDIA LTD,ACCELYA,₹1764.00
ACCENT MICROCELL LIMITED,ACCENTMIC,₹285.00
ACCORD SYNERGY LIMITED,ACCORD,₹36.55
ACCURACY SHIPPING LIMITED,ACCURACY,₹10.15
ACTION CONST EQUIP LTD,ACE,₹1370.60
ACE INTEGRATED SOLU. LTD.,ACEINTEG,₹34.81
ARCHEAN CHEMICAL IND LTD,ACI,₹715.00
ANDHRA CEMENTS LIMITED,ACL,₹94.80
ALLCARGO GATI LIMITED,ACLGATI,₹107.85
ARVIND AND COMPANY,ACSAL,₹140.00
ADANI ENERGY SOLUTION LTD,ADANIENSOL,₹976.00
ADANI ENTERPRISES LIMITED,ADANIENT,₹3110.65
ADANI GREEN ENERGY LTD,ADANIGREEN,₹1801.15
ADANI PORT & SEZ LTD,ADANIPORTS,₹1424.80
ADANI POWER LTD,ADANIPOWER,₹641.45
ADF FOODS LIMITED,ADFFOODS,₹274.90
ARCHIDPLY DECOR LIMITED,ADL,₹101.08
ADOR WELDING LTD,ADORWELD,₹1345.10
ADROIT INFOTECH LIMITED,ADROITINFO,₹18.43
ALLIED DIGITAL SERV. LTD,ADSL,₹264.00
ADVANI HOT.& RES.(I) LTD,ADVANIHOTR,₹71.70
ADVANCED ENZYME TECH LTD,ADVENZYMES,₹494.50
AEGIS LOGISTICS LIMITED,AEGISLOG,₹729.60
AEROFLEX INDUSTRIES LTD,AEROFLEX,₹188.99
AERON COMPOSITE LIMITED,AERON,₹141.00
AESTHETIK ENGINEERS LTD,AESTHETIK,₹78.50
AETHER INDUSTRIES LIMITED,AETHER,₹939.85
AFFLE (INDIA) LIMITED,AFFLE,₹1555.00
AKME FINTRADE (INDIA) LTD,AFIL,₹105.00
AGARWAL INDS CORP LTD.,AGARIND,₹1116.15
AGI GREENPAC LIMITED,AGI,₹951.00
AGI INFRA LIMITED,AGIIL,₹1000.60
AGNI GREEN POWER LTD,AGNI,₹42.05
AGRI-TECH (INDIA) LIMITED,AGRITECH,₹212.10
AGRO PHOS INDIA LIMITED,AGROPHOS,₹44.00
AGS TRANSACT TECH LTD,AGSTRA,₹95.00
A G UNIVERSAL LIMITED,AGUL,₹61.00
ABANS HOLDINGS LIMITED,AHL,₹379.00
AHLADA ENGINEERS LIMITED,AHLADA,₹104.06
ASIAN HOTELS (EAST) LTD,AHLEAST,₹168.00
AHLUWALIA CONT IND LTD,AHLUCONT,₹1125.00
AIA ENGINEERING LIMITED,AIAENG,₹4212.30
AUTHUM INVEST & INFRA LTD,AIIL,₹1813.00
AIRAN LIMITED,AIRAN,₹35.50
AIRO LAM LIMITED,AIROLAM,₹132.00
ANI INTEGRATED SERV LTD.,AISL,₹--
AJANTA PHARMA LIMITED,AJANTPHARM,₹3340.10
AJMERA REALTY & INF I LTD,AJMERA,₹668.00
AJOONI BIOTECH LIMITED,AJOONI,₹8.00
AKASH INFRA-PROJECTS LTD,AKASH,₹38.00
AKG EXIM LIMITED,AKG,₹19.96
AKI INDIA LIMITED,AKI,₹20.38
AKIKO GLOBAL SERVICES L,AKIKO,₹75.00
AKSHAR SPINTEX LIMITED,AKSHAR,₹1.59
AKSHARCHEM INDIA LIMITED,AKSHARCHEM,₹307.05
AKSH OPTIFIBRE LIMITED,AKSHOPTFBR,₹8.55
AKUMS DRUGS AND PHARMA L,AKUMS,₹847.00
AKZO NOBEL INDIA LIMITED,AKZOINDIA,₹3771.30
ALANKIT LIMITED,ALANKIT,₹23.33
ALBERT DAVID LIMITED,ALBERTDAVD,₹1469.00
ALEMBIC LIMITED,ALEMBICLTD,₹141.95
ALICON CASTALLOY LIMITED,ALICON,₹1311.30
ALKALI METALS LTD,ALKALI,₹119.85
ALKEM LABORATORIES LTD.,ALKEM,₹6175.00
ALKYL AMINES CHEM. LTD,ALKYLAMINE,₹2290.00
ALLCARGO LOGISTICS LTD,ALLCARGO,₹63.82
ALLDIGI TECH LIMITED,ALLDIGI,₹1011.20
ALL E TECHNOLOGIES LTD,ALLETEC,₹393.60
ALMONDZ GLOBAL SEC LTD,ALMONDZ,₹30.25
ALOK INDUSTRIES LIMITED,ALOKINDS,₹25.95
ALPA LABORATORIES LTD,ALPA,₹125.10
KOTAKMAMC - KOTAKALPHA,,₹125.10
MIRAEAMC - ALPHAETF,,₹125.10
ALPHAGEO (INDIA) LIMITED,ALPHAGEO,₹458.00
ICICIPRAMC - ICICIALPLV,,₹458.00
ALPS INDUSTRIES LTD.,ALPSINDUS,₹4.12
AMBANI ORGOCHEM LIMITED,AMBANIORGO,₹80.10
AMBER ENTERPRISES (I) LTD,AMBER,₹5159.95
AMBEY LABORATORIES LTD,AMBEY,₹63.20
AMBICA AGAR & AROMAINDLTD,AMBICAAGAR,₹29.40
AMBIKA COTTON MILL LTD.,AMBIKCO,₹1661.05
AMBUJA CEMENTS LTD,AMBUJACEM,₹615.00
AMD INDUSTRIES LIMITED,AMDIND,₹72.00
AMEYA PRECISION ENG LTD,AMEYA,₹99.55
AMIABLE LOGISTICS (I) LTD,AMIABLE,₹87.00
AMI ORGANICS LIMITED,AMIORG,₹1651.50
AMJ LAND HOLDINGS LIMITED,AMJLAND,₹48.21
A AND M JUMBO BAGS LTD,AMJUMBO,₹11.80
AMINES & PLASTICIZERS LTD,AMNPLST,₹303.00
AMRUTAJAN HEALTH LTD,AMRUTANJAN,₹776.50
ANAND RATHI WEALTH LTD,ANANDRATHI,₹3872.65
ANANT RAJ LIMITED,ANANTRAJ,₹701.55
ANDHRA PAPER LIMITED,ANDHRAPAP,₹103.65
ANDHRA SUGARS LTD,ANDHRSUGAR,₹110.50
ANGEL ONE LIMITED,ANGELONE,₹2707.45
ANIK INDUSTRIES LTD,ANIKINDS,₹--
ANKIT MET & POW LTD,ANKITMETAL,₹3.74
ANMOL INDIA LIMITED,ANMOL,₹31.35
ANNAPURNA SWADISHT LTD,ANNAPURNA,₹396.50
ANTARCTICA LTD,ANTGRAPHIC,₹1.89
THE ANUP ENGINEERING LTD,ANUP,₹2653.25
ANUPAM RASAYAN INDIA LTD,ANURAS,₹746.05
APAR INDUSTRIES LTD.,APARINDS,₹9460.00
ANJANI PORTLAND CEM LTD,APCL,₹186.03
APCOTEX INDUSTRIES LIMITE,APCOTEXIND,₹418.00
APEX FROZEN FOODS LIMITED,APEX,₹240.10
APL APOLLO TUBES LTD,APLAPOLLO,₹1610.00
ALEMBIC PHARMA LTD,APLLTD,₹1261.50
APOLLO MICRO SYSTEMS LTD,APOLLO,₹101.10
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,₹6801.00
APOLLO PIPES LIMITED,APOLLOPIPE,₹578.20
APOLLO TYRES LTD,APOLLOTYRE,₹511.60
APOLLO SINDOORI HOTEL LTD,APOLSINHOT,₹1942.00
APRAMEYA ENGINEERING LTD,APRAMEYA,₹60.00
APTECH LIMITED,APTECHT,₹210.00
APTUS VALUE HSG FIN I LTD,APTUS,₹340.00
ARABIAN PETROLEUM LIMITED,ARABIAN,₹92.30
ARCHIDPLY IND. LTD,ARCHIDPLY,₹126.84
ARCHIES LTD,ARCHIES,₹32.66
AMARA RAJA ENERGY MOB LTD,ARE&M,₹1382.00
RAJDARSHAN INDUSTRIES LTD,ARENTERP,₹45.99
ARHAM TECHNOLOGIES LTD,ARHAM,₹167.20
ARIES AGRO LTD.,ARIES,₹262.00
ARIHANT ACADEMY LIMITED,ARIHANTACA,₹190.05
ARIHANT CAPITAL MKTS LTD,ARIHANTCAP,₹112.00
ARIHANT SUPERSTRUCT LTD,ARIHANTSUP,₹402.25
ARISTO BIO T AND LIFESC L,ARISTO,₹116.00
ARKADE DEVELOPERS LIMITED,ARKADE,₹148.50
ARMAN FIN SERV LTD,ARMANFIN,₹1637.10
ARO GRANITE IND. LTD.,AROGRANITE,₹57.30
ARROW GREENTECH LIMITED,ARROWGREEN,₹798.85
ARSHIYA LIMITED,ARSHIYA,₹3.37
ARSS INFRA PROJ. LTD,ARSSINFRA,₹20.11
ARTEMIS MED SERVICE LTD,ARTEMISMED,₹271.55
ART NIRMAN LIMITED,ARTNIRMAN,₹61.80
ARVEE LABORATORIES I LTD,ARVEE,₹192.25
ARVIND LIMITED,ARVIND,₹347.50
ARVIND FASHIONS LIMITED,ARVINDFASN,₹572.10
ARVIND SMARTSPACES LTD,ARVSMART,₹783.40
ASAHI INDIA GLASS LIMITED,ASAHIINDIA,₹756.00
ASAHI SONGWON COLOR LTD,ASAHISONG,₹454.55
AUTOMOTIVE STAMPINGS & AS,ASAL,₹758.00
ASSO ALCOHOLS & BREW LTD,ASALCBR,₹926.25
ASHAPURA LOGISTICS LTD,ASHALOG,₹115.20
ASHAPURA MINECHEM LTD,ASHAPURMIN,₹305.20
ASHIANA HOUSING LTD,ASHIANA,₹315.00
ASHIMA LTD,ASHIMASYN,₹35.50
ASHOKA BUILDCON LTD,ASHOKA,₹246.00
ASHOKA METCAST LIMITED,ASHOKAMET,₹21.10
ASHOK LEYLAND LTD,ASHOKLEY,₹232.00
ASIAN ENERGY SERVICES LTD,ASIANENE,₹375.15
ASIAN HOTELS (NORTH) LTD,ASIANHOTNR,₹234.00
ASIAN PAINTS LIMITED,ASIANPAINT,₹3135.00
ASIAN GRANITO IND. LTD.,ASIANTILES,₹82.25
ASK AUTOMOTIVE LIMITED,ASKAUTOLTD,₹413.00
ASL INDUSTRIES LIMITED,ASLIND,₹42.00
BARTRONICS INDIA LIMITED,ASMS,₹21.71
ASPINWALL & CO LTD,ASPINWALL,₹283.40
ASPIRE & INNOVATIVE ADV L,ASPIRE,₹72.80
ASTEC LIFESCIENCES LTD,ASTEC,₹1174.05
ASTER DM HEALTHCARE LTD.,ASTERDM,₹421.00
ASTRAL LIMITED,ASTRAL,₹1897.85
ASTRA MICROWAVE LTD,ASTRAMICRO,₹853.85
ASTRAZENECA PHARMA IND LT,ASTRAZEN,₹7442.65
ASTRON PAPER BORD MIL LTD,ASTRON,₹21.99
ATAL REALTECH LIMITED,ATALREAL,₹8.80
ATAM VALVES LIMITED,ATAM,₹144.00
AGRO TECH FOODS LIMITED,ATFL,₹849.05
ADANI TOTAL GAS LIMITED,ATGL,₹770.05
ALLCARGO TERMINALS LTD,ATL,₹43.19
ATLANTAA LIMITED,ATLANTAA,₹--
ATUL LTD,ATUL,₹7690.60
ATUL AUTO LIMITED,ATULAUTO,₹649.90
AU SMALL FINANCE BANK LTD,AUBANK,₹727.00
AURANGABAD DISTILLERY LTD,AURDIS,₹382.00
AURIONPRO SOLN LTD,AURIONPRO,₹1610.25
AURO IMPEX & CHEMICALS L,AUROIMPEX,₹80.50
AUROBINDO PHARMA LTD,AUROPHARMA,₹1467.00
AURUM PROPTECH LIMITED,AURUM,₹193.93
ADITYA ULTRA STEEL LTD,AUSL,₹57.10
AUSOM ENTERPRISE LIMITED,AUSOMENT,₹125.01
AUTOMOTIVE AXLES LIMITED,AUTOAXLES,₹1899.00
NIPPONAMC - NETFAUTO,,₹1899.00
ICICIPRAMC - ICICIAUTO,,₹1899.00
AUTOLINE INDUSTRIES LTD,AUTOIND,₹121.60
AVADH SUG & ENERGY LTD,AVADHSUGAR,₹796.20
AVALON TECHNOLOGIES LTD,AVALON,₹550.60
AVANTEL LIMITED,AVANTEL,₹180.58
AVANTI FEEDS LIMITED,AVANTIFEED,₹609.20
AVG LOGISTICS LIMITED,AVG,₹441.55
AVONMORE CAP&MGT SERV LTD,AVONMORE,₹15.00
AVP INFRACON LIMITED,AVPINFRA,₹158.35
AVRO INDIA LIMITED,AVROIND,₹160.10
AVT NATURAL PRODUCTS LTD,AVTNPL,₹88.05
AWFIS SPACE SOLUTIONS LTD,AWFIS,₹673.90
ANTONY WASTE HDG CELL LTD,AWHCL,₹744.95
ADANI WILMAR LIMITED,AWL,₹345.55
AXIS BANK LIMITED,AXISBANK,₹1175.50
AXISAMC - AXISBNKETF,,₹1175.50
AXISAMC - AXISBPSETF,,₹1175.50
AXISCADES TECH LTD,AXISCADES,₹555.00
AXISAMC - AXISCETF,,₹555.00
AXIS MF - AXIS GOLD ETF,,₹555.00
AXISAMC - AXISHCETF,,₹555.00
AXISAMC - AXISILVER,,₹555.00
AXISAMC - AXISNIFTY,,₹555.00
AXISAMC - AXISTECETF,,₹555.00
AXITA COTTON LIMITED,AXITA,₹16.32
AXISAMC - AXSENSEX,,₹16.32
AYM SYNTEX LIMITED,AYMSYNTEX,₹--
AZAD ENGINEERING LIMITED,AZAD,₹1408.75
BABA FOOD PROCESSING,BABAFP,₹57.00
BAFNA PHARMACEUTICALS LTD,BAFNAPH,₹83.00
B.A.G FILMS AND MEDIA LTD,BAGFILMS,₹13.47
BAHETI RECYCLING IND LTD,BAHETI,₹375.10
BAID FINSERV LIMITED,BAIDFIN,₹15.28
BAJAJ AUTO LIMITED,BAJAJ-AUTO,₹11661.20
BAJAJ CONSUMER CARE LTD,BAJAJCON,₹239.40
BAJAJ ELECT.LTD,BAJAJELEC,₹929.30
BAJAJ FINSERV LTD.,BAJAJFINSV,₹1884.55
BAJAJ HEALTHCARE LIMITED,BAJAJHCARE,₹378.30
BAJAJ HOUSING FINANCE LTD,BAJAJHFL,₹150.60
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND,₹41.29
BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,₹10411.00
BAJEL PROJECTS LIMITED,BAJEL,₹285.00
BAJAJ FINANCE LIMITED,BAJFINANCE,₹7420.00
SHREE TIRUPATI BALAJEE L,BALAJEE,₹79.40
BALAJI TELEFILMS LTD.,BALAJITELE,₹63.27
BALAJI AMINES LIMITED,BALAMINES,₹2247.80
BALAXI PHARMA LTD,BALAXI,₹103.90
SOLVE PLASTIC PRODUCTS L,BALCO,₹54.55
BALKRISHNA PAPER MILLS L,BALKRISHNA,₹26.49
BALKRISHNA IND. LTD,BALKRISIND,₹2964.75
BALMER LAWRIE & CO LTD,BALMLAWRIE,₹258.30
BAL PHARMA LTD.,BALPHARMA,₹135.00
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,₹662.00
BALU FORGE INDUSTRIES LTD,BALUFORGE,₹772.20
BANARAS BEADS LTD,BANARBEADS,₹106.80
BANNARI AMMAN SUGARS LTD,BANARISUG,₹3789.95
BANCO PRODUCTS (I) LTD,BANCOINDIA,₹752.10
BANDHAN BANK LIMITED,BANDHANBNK,₹189.00
BANG OVERSEAS LTD.,BANG,₹53.01
BANKA BIOLOO LIMITED,BANKA,₹110.80
BANK OF BARODA,BANKBARODA,₹252.00
NIP IND ETF BANK BEES,,₹252.00
BFAM - BANKBETF,,₹252.00
MIRAEAMC - BANKETF,,₹252.00
DSPAMC - DSPBANKETF,,₹252.00
ICICIPRAMC - IPRU5008,,₹252.00
BANK OF INDIA,BANKINDIA,₹109.29
KOTAKMAMC-KOTAKBKETF,,₹109.29
BANSAL WIRE INDUSTRIES L,BANSALWIRE,₹428.80
BANSWARA SYNTEX LIMITED,BANSWRAS,₹138.00
BARBEQUE NATION HOSP. LTD,BARBEQUE,₹641.25
BASF INDIA LTD,BASF,₹8119.00
BANNARI AM SPIN MILL LTD.,BASML,₹57.06
BATA INDIA LTD,BATAINDIA,₹1373.00
BAWEJA STUDIOS LIMITED,BAWEJA,₹76.70
BAYER CROPSCIENCE LTD,BAYERCROP,₹6740.00
EDELAMC - BBETF0432,,₹6740.00
BHARAT BIJLEE LTD,BBL,₹4680.00
BARODABNP - BBNPNBETF,,₹4680.00
BARODABNP - BBNPPGOLD,,₹4680.00
BLACK BOX LIMITED,BBOX,₹483.25
BOMBAY BURMAH TRADING COR,BBTC,₹2783.50
B&B TRIPLEWALL CONT LTD,BBTCL,₹229.00
BCL INDUSTRIES LIMITED,BCLIND,₹57.71
BRAND CONCEPTS LIMITED,BCONCEPTS,₹639.00
BHARAT DYNAMICS LIMITED,BDL,₹1124.95
BEACON TRUSTEESHIP LTD,BEACON,₹117.50
BEARDSELL LIMITED,BEARDSELL,₹48.00
MRS BECTORS FOOD SPE LTD,BECTORFOOD,₹1850.00
BEDMUTHA INDUST LTD,BEDMUTHA,₹214.06
BHARAT ELECTRONICS LTD,BEL,₹278.70
BEML LIMITED,BEML,₹3674.95
BHANSALI ENG. POLYMERS LT,BEPL,₹149.00
BERGER PAINTS (I) LTD,BERGEPAINT,₹576.90
BEST AGROLIFE LIMITED,BESTAGRO,₹551.35
BETA DRUGS LIMITED,BETA,₹1635.00
BEW ENGINEERING LIMITED,BEWLTD,₹1397.00
BF INVESTMENT LIMITED,BFINVEST,₹630.95
MIRAEAMC - MAFSETF,,₹630.95
BF UTILITIES LIMITED,BFUTILITIE,₹1036.10
BGR ENERGY SYSTEMS LTD,BGRENERGY,₹51.40
BHAGIRADHA CHEM & INDS L,BHAGCHEM,₹350.00
BHAGERIA INDUSTRIES LTD,BHAGERIA,₹238.43
BHAGYANAGAR INDIA LIMITED,BHAGYANGR,₹104.00
BHANDARI HOSIERY EXP LTD,BHANDARI,₹6.64
BHARAT FORGE LTD,BHARATFORG,₹1477.95
BHARAT GEARS LTD.,BHARATGEAR,₹103.20
BHARAT RASAYAN LTD,BHARATRAS,₹11400.00
BHARAT WIRE ROPES LTD.,BHARATWIRE,₹264.65
BHARTI AIRTEL LIMITED,BHARTIARTL,₹1670.05
BHARTI HEXACOM LIMITED,BHARTIHEXA,₹1399.95
BHEL,BHEL,₹269.50
BIGBLOC CONSTRUCTION LTD,BIGBLOC,₹117.66
BIKAJI FOODS INTERN LTD,BIKAJI,₹901.95
BHARTIYA INTERNATIONAL,BIL,₹625.55
BINANI INDUSTRIES LTD,BINANIIND,₹17.92
BIOCON LIMITED.,BIOCON,₹346.55
BIOFIL CHEM & PHARMA LTD,BIOFILCHEM,₹78.50
BIRLA CABLE LIMITED,BIRLACABLE,₹247.60
BIRLA CORPORATION LTD,BIRLACORPN,₹1248.70
ADITYA BIRLA MONEY LTD,BIRLAMONEY,₹146.79
BEML LAND ASSETS LIMITED,BLAL,₹235.00
BLB LIMITED,BLBLIMITED,₹20.19
BLISS GVS PHARMA LTD,BLISSGVS,₹131.25
B.L.KASHYAP & SON LTD,BLKASHYAP,₹92.35
BLS INTL SERVS LTD,BLS,₹357.95
BLS E-SERVICES LIMITED,BLSE,₹219.02
BLUE CHIP INDIA LIMITED,BLUECHIP,₹6.45
BLUE COAST HOTELS LIMITED,BLUECOAST,₹10.52
BLUE DART EXPRESS LTD,BLUEDART,₹8355.00
BLUE JET HEALTHCARE LTD,BLUEJET,₹500.75
BLUE PEBBLE LIMITED,BLUEPEBBLE,₹274.80
BLUE STAR LIMITED,BLUESTARCO,₹2122.60
BOMBAY METRICS S C LTD,BMETRICS,₹71.55
BODAL CHEMICALS LTD,BODALCHEM,₹83.76
BOMBAY DYEING & MFG. CO L,BOMDYEING,₹233.02
BOROSIL LIMITED,BOROLTD,₹410.00
BOROSIL RENEWABLES LTD,BORORENEW,₹478.00
BOROSIL SCIENTIFIC LTD,BOROSCI,₹184.90
BOSCH LIMITED,BOSCHLTD,₹37150.00
BOSS PACKAGING SOLU LTD,BOSS,₹66.00
BHARAT PETROLEUM CORP  LT,BPCL,₹342.00
BPL LTD,BPL,₹105.00
BRACE PORT LOGISTICS LTD,BRACEPORT,₹107.00
BRIGADE ENTER. LTD,BRIGADE,₹1376.90
BRITANNIA INDUSTRIES LTD,BRITANNIA,₹6222.65
BHARAT ROAD NETWORK LTD,BRNL,₹46.56
BROOKS LAB LIMITED,BROOKS,₹145.04
BSE LIMITED,BSE,₹4190.00
ICICIPRAMC - ICICI500,,₹4190.00
BOMBAY SUPER HYBRID SEEDS,BSHSL,₹170.00
BSL LTD,BSL,₹214.12
ADITYBIRLA SL GOLD ETF-GR,,₹214.12
ADITYBIRLA SL NIF ETF-GR,,₹214.12
BIRLASLAMC - BSLSENETFG,,₹214.12
BIRLASOFT LIMITED,BSOFT,₹588.05
BODHI TREE MULTIMEDIA LTD,BTML,₹11.61
BULKCORP INTERNATIONAL L,BULKCORP,₹124.00
BURNPUR CEMENT LTD.,BURNPUR,₹6.95
BTRFLY GANDHI APPL LTD,BUTTERFLY,₹971.40
BARAK VALLEY CEM. LTD.,BVCL,₹61.00
THE BYKE HOSPITALITY LTD,BYKE,₹71.00
CADSYS (INDIA) LIMITED,CADSYS,₹138.00
CALIFORNIA SOFTWARE CO LT,CALSOFT,₹23.40
CAMLIN FINE SCIENCES LTD,CAMLINFINE,₹102.52
CAMPUS ACTIVEWEAR LIMITED,CAMPUS,₹332.00
COMPUTER AGE MNGT SER LTD,CAMS,₹4266.00
CANARA BANK,CANBK,₹108.24
CAN FIN HOMES LTD,CANFINHOME,₹852.05
CANTABIL RETAIL LTD,CANTABIL,₹238.64
CAPACITE INFRAPROJECT LTD,CAPACITE,₹380.90
CAPITAL SMALL FIN BANK L,CAPITALSFB,₹294.85
CAPLIN POINT LAB LTD.,CAPLIPOINT,₹1979.10
CAPITAL TRUST LIMITED,CAPTRUST,₹136.00
CARBORUNDUM UNIVERSAL LTD,CARBORUNIV,₹1465.00
CAREER POINT LIMITED,CAREERP,₹482.00
CARE RATINGS LIMITED,CARERATING,₹1040.00
CARTRADE TECH LIMITED,CARTRADE,₹933.00
CARYSIL LIMITED,CARYSIL,₹766.10
CASTROL INDIA LIMITED,CASTROLIND,₹230.40
NET AVENUE TECHNOLOGIES L,CBAZAAR,₹14.40
CONS. CONST. CONSORT LTD,CCCL,₹--
COUNTRY CLUB HOSP HOL LTD,CCHHL,₹21.64
CCL PRODUCTS (I) LTD,CCL,₹679.00
CENTRAL DEPO SER (I) LTD,CDSL,₹1385.00
CEAT LIMITED,CEATLTD,₹3059.95
CEIGALL INDIA LIMITED,CEIGALL,₹390.20
CELEBRITY FASHIONS LTD,CELEBRITY,₹16.44
CELLECOR GADGETS LIMITED,CELLECOR,₹54.55
CELLO WORLD LIMITED,CELLO,₹893.05
CELL POINT (INDIA) LTD,CELLPOINT,₹34.10
CENTURY ENKA LTD,CENTENKA,₹669.45
CENTURY EXTRUSIONS LTD,CENTEXT,₹23.46
CENTRAL BANK OF INDIA,CENTRALBK,₹58.00
CENTRUM CAPITAL LIMITED,CENTRUM,₹34.49
CENTUM ELECTRONICS LTD,CENTUM,₹1855.00
CENTURY PLYBOARDS (I) LTD,CENTURYPLY,₹882.85
CENTURY TEXTILES LTD,CENTURYTEX,₹2764.90
CERA SANITARYWARE LTD,CERA,₹8146.50
